registration;brand;model;type;year_of_production;name;surname;introduction_date;expiration_date
GDGZZFS;Chrysler;Pacifica;Osobowy;2000;Przemyslaw;Tomczak;01-12-2021;
GDBIF9X;Volvo;XC60;Osobowy;2011;Aleksander;Ostrowski;01-12-2021;
GDSF414;Fiat;500;Osobowy;2016;Gabriel;Sobczyk;01-12-2021;
GDJ353Z;Nissan;Altima;Osobowy;2005;Bartlomiej;Pawlowski;01-12-2021;
GDAVP3S;Dodge;Charger;Osobowy;2009;Marcin;Pajak;01-12-2021;
GD2LZD1;Audi;Q5;Osobowy;2001;Dawid;Walczak;01-12-2021;
GDJ9RIX;Ford;Mustang;Osobowy;2009;Jan;Grabowski;01-12-2021;
GDDQFHP;Mazda;3;Osobowy;2001;Kamil;Madej;01-12-2021;
GDKEYVP;Mini;Cooper;Osobowy;2006;Marek;Sobolewski;01-12-2021;
GDU4E51;Mazda;CX-5;Osobowy;2010;Filip;Niewiadomski;01-12-2021;
GD4LUVE;Nissan;Pathfinder;Osobowy;2011;Wojciech;Rutkowski;01-12-2021;
GDB6E8H;Mini;Clubman;Osobowy;2001;Borys;Mikolajczyk;01-12-2021;
GDVFF65;Honda;CR-V;Osobowy;2015;Bartlomiej;Krol;02-12-2021;
GD674QE;GMC;Yukon;Osobowy;2020;Cezary;Kosinski;03-12-2021;
GDMS89Y;Lexus;GX;Osobowy;1992;Gabriel;Wlodarczyk;04-12-2021;
GDRBCT6;Chevrolet;Colorado;Ciezarowy;2010;Borys;Malinowski;04-12-2021;
GDERV2K;Volkswagen;Tiguan;Osobowy;2003;Jakub;Majewski;05-12-2021;
GDYAE4G;Mercedes-Benz;GLC;Osobowy;2018;Roman;Krawczyk;08-12-2021;
GD20JG1;Jaguar;XE;Osobowy;2014;Kacper;Duda;10-12-2021;
GDEWAVJ;Chevrolet;Tahoe;Osobowy;2001;Jakub;Kaminski;10-12-2021;
GDEUENV;Mazda;3;Osobowy;2016;Jan;Gorski;11-12-2021;
GD12BIP;Toyota;RAV4;Osobowy;2016;Emil;Nowacki;11-12-2021;
GDH7DWG;Audi;A6;Osobowy;2016;Aleksander;Marciniak;12-12-2021;
GD9XDJ5;Cadillac;Escalade;Osobowy;2022;Emil;Kowalczyk;14-12-2021;
GDJ0VE8;Fiat;124 Spider;Osobowy;2011;Kajetan;Golebiowski;15-12-2021;
GDOVDR6;BMW;3 Series;Osobowy;2013;Wojciech;Nowak;16-12-2021;
GD6DW02;Chevrolet;Silverado;Ciezarowy;2017;Maciej;Krupa;18-12-2021;
GDIF90S;Fiat;500;Osobowy;2007;Daniel;Zajac;19-12-2021;
GDW2NGW;Nissan;Rogue;Osobowy;2019;Maksymilian;Kaczmarek;20-12-2021;
GDOBCBV;Toyota;Camry;Osobowy;1991;Artur;Kaczmarek;21-12-2021;
GDZD4YJ;Mini;Clubman;Osobowy;2005;Cezary;Kwiatkowski;21-12-2021;
GDLEAAN;Chrysler;Voyager;Osobowy;2009;Bartlomiej;Nowacki;21-12-2021;
GDLLB28;Fiat;500;Osobowy;1992;Grzegorz;Malinowski;23-12-2021;
GDMJ3L4;Mercedes-Benz;S-Class;Osobowy;1994;Kajetan;Piasecki;23-12-2021;
GDFCBBN;Cadillac;CT6;Osobowy;1995;Jacek;Borowski;24-12-2021;
GDEOEYL;Toyota;Corolla;Osobowy;2006;Cezary;Nowak;24-12-2021;
GD72RX2;Porsche;Panamera;Osobowy;2014;Maciej;Kazmierczak;26-12-2021;
GD4IB7E;Chrysler;Pacifica;Osobowy;2009;Milosz;Mikolajczyk;29-12-2021;
GDA0ZCN;GMC;Sierra;Ciezarowy;2018;Gabriel;Jakubowski;30-12-2021;
GD4LS7U;Land Rover;Range Rover;Osobowy;2020;Arkadiusz;Kolodziej;31-12-2021;
GDUJWXP;Acura;MDX;Osobowy;2009;Benedykt;Nowicki;03-01-2022;
GD1TXI2;Chevrolet;Colorado;Ciezarowy;2008;Adam;Urbanski;04-01-2022;
GDGDHT8;Mazda;MX-5;Osobowy;2003;Robert;Golebiowski;04-01-2022;
GD5GC0N;Honda;Civic;Osobowy;2010;Borys;Sikorski;05-01-2022;
GDSGKX9;Jeep;Cherokee;Osobowy;2006;Wiktor;Mucha;06-01-2022;
GD4MYQE;Nissan;Pathfinder;Osobowy;2007;Gabriel;Kaczor;10-01-2022;
GDDWYGQ;Dodge;Charger;Osobowy;2005;Kamil;Baran;10-01-2022;
GDHGE6B;Mercedes-Benz;C-Class;Osobowy;1994;Stanislaw;Jozwiak;12-01-2022;
GDFET6V;Tesla;Model S;Osobowy;1999;Krzysztof;Cieslak;13-01-2022;
GDLUJQV;Nissan;Altima;Osobowy;2011;Maciej;Piasecki;15-01-2022;
GDJKY7X;Volvo;S60;Osobowy;1994;Kacper;Sikora;16-01-2022;
GDVLXBG;Kia;Sportage;Osobowy;2002;Bartlomiej;Lewandowski;16-01-2022;
GDLZS5D;Honda;Civic;Osobowy;2011;Cezary;Romanowski;17-01-2022;
GD22TAD;Toyota;RAV4;Osobowy;2022;Grzegorz;Majewski;17-01-2022;
GDTPV6N;Chrysler;300;Osobowy;2001;Adrian;Kaminski;17-01-2022;
GDVUJQP;Nissan;Murano;Osobowy;2005;Juliusz;Tomasik;18-01-2022;
GDCK3RP;Mercedes-Benz;GLC;Osobowy;1991;Dawid;Czerwinski;18-01-2022;
GDVIIQY;Dodge;Durango;Osobowy;1995;Kazimierz;Kaczor;19-01-2022;
GDLP7W1;GMC;Yukon;Osobowy;1998;Kajetan;Kowalczyk;19-01-2022;
GDRDCT6;Mercedes-Benz;S-Class;Osobowy;2020;Jacek;Czarnecki;20-01-2022;
GDCQAKA;Chevrolet;Colorado;Ciezarowy;1995;Wojciech;Sikorski;22-01-2022;
GD35Z12;Volvo;S60;Osobowy;2010;Bartlomiej;Kaczmarczyk;24-01-2022;
GDHRHK6;Toyota;Corolla;Osobowy;2001;Kajetan;Wisniewski;25-01-2022;
GDWN27I;BMW;X3;Osobowy;2003;Dominik;Rutkowski;26-01-2022;
GDZGZI0;Volvo;XC90;Osobowy;2000;Jan;Jozwiak;27-01-2022;
GD0J8YL;Chevrolet;Silverado;Ciezarowy;2000;Arkadiusz;Kosinski;28-01-2022;
GDTGPHC;Audi;Q5;Osobowy;2016;Dawid;Ostrowski;29-01-2022;
GD0LN28;Honda;Civic;Osobowy;1995;Roman;Walczak;29-01-2022;
GDP1GIO;GMC;Acadia;Osobowy;2000;Kajetan;Kowalik;30-01-2022;
GDO88NQ;Mini;Countryman;Osobowy;1990;Antoni;Kwiatkowski;31-01-2022;
GD6V9ZS;Jaguar;XF;Osobowy;2001;Ernest;Bednarek;01-02-2022;
GDPNDAO;Tesla;Model Y;Osobowy;2003;Maksymilian;Stepnien;01-02-2022;
GDNQMWX;Chrysler;Voyager;Osobowy;2013;Karol;Lewandowski;02-02-2022;
GDQ158S;Acura;RDX;Osobowy;1995;Cezary;Wisniewski;03-02-2022;
GDQGDET;Lexus;GX;Osobowy;2019;Oskar;Czerwinski;03-02-2022;
GDS0J5M;Hyundai;Tucson;Osobowy;2006;Andrzej;Krzesinski;03-02-2022;
GDMP9ZI;Subaru;Impreza;Osobowy;2007;Jan;Kurek;05-02-2022;
GDOYFUJ;GMC;Yukon;Osobowy;2021;Hubert;Urbanski;05-02-2022;
GDRVRLI;Ford;Mustang;Osobowy;1996;Cezary;Grzybowski;06-02-2022;
GDYWMWO;Audi;A6;Osobowy;2003;Borys;Walczak;08-02-2022;
GDIMJDF;Mini;Clubman;Osobowy;1992;Antoni;Mazur;08-02-2022;
GDPH3V2;Audi;Q7;Osobowy;2001;Adam;Kaczmarczyk;11-02-2022;
GD52KK7;Chevrolet;Colorado;Ciezarowy;2006;Krzysztof;Majewski;13-02-2022;
GDQZTKF;Dodge;Challenger;Osobowy;2005;Kacper;Szczepanski;14-02-2022;
GD8P95Z;Volvo;XC90;Osobowy;2005;Hubert;Kosinski;15-02-2022;
GD2XPQM;Hyundai;Kona;Osobowy;2022;Cezary;Adamski;17-02-2022;
GDIMCCV;Chrysler;Pacifica;Osobowy;1998;Damian;Kaczor;18-02-2022;
GD1H6PW;Tesla;Model Y;Osobowy;2006;Benedykt;Krol;19-02-2022;
GDV19VD;Honda;Civic;Osobowy;1992;Benedykt;Szczepanski;20-02-2022;
GDY1XF5;Audi;A4;Osobowy;2000;Grzegorz;Kowalik;21-02-2022;
GDH35E5;Nissan;Rogue;Osobowy;1990;Dawid;Stepnien;22-02-2022;
GD02N0N;Tesla;Model S;Osobowy;2006;Krzysztof;Sobolewski;22-02-2022;
GDLY4NW;Buick;Enclave;Osobowy;2021;Jan;Borkowski;23-02-2022;
GDV01RE;Buick;Enclave;Osobowy;2005;Stanislaw;Pawlowski;28-02-2022;
GD9BX63;Dodge;Durango;Osobowy;1998;Aleksander;Malinowski;01-03-2022;
GD72BAC;Nissan;Rogue;Osobowy;1990;Kajetan;Michalak;02-03-2022;
GDX0L7F;Chevrolet;Colorado;Ciezarowy;2006;Szymon;Piasecki;03-03-2022;
GDDZ5DT;Ford;Explorer;Osobowy;1991;Milosz;Duda;05-03-2022;
GD6TPG2;Audi;A6;Osobowy;2002;Krzysztof;Wisniewski;06-03-2022;
GDXQR3X;BMW;3 Series;Osobowy;1996;Arkadiusz;Sikora;06-03-2022;
GDZI8GW;Chrysler;300;Osobowy;2013;Emil;Sobolewski;06-03-2022;
GD16ZB7;Kia;Sportage;Osobowy;1995;Arkadiusz;Kowalski;07-03-2022;
GDPXWMQ;Chevrolet;Equinox;Osobowy;1997;Dominik;Romanowski;07-03-2022;
GD5J48A;Mercedes-Benz;C-Class;Osobowy;1995;Grzegorz;Kaminski;07-03-2022;
GDQAQZT;Buick;Encore;Osobowy;1993;Jacek;Sadowski;08-03-2022;
GDSZ9VV;Honda;CR-V;Osobowy;2011;Kajetan;Chmielewski;08-03-2022;
GDJBJUT;Porsche;Cayenne;Osobowy;1997;Kazimierz;Gorski;11-03-2022;
GDUPGH6;Jeep;Wrangler;Osobowy;2003;Przemyslaw;Kosinski;11-03-2022;
GDLCARY;BMW;3 Series;Osobowy;1990;Arkadiusz;Nowak;11-03-2022;
GDC5PHU;Audi;Q7;Osobowy;1994;Arkadiusz;Borowski;12-03-2022;
GD53CK1;Chevrolet;Silverado;Ciezarowy;2002;Bartlomiej;Sikorski;13-03-2022;
GD7NXS9;Tesla;Model 3;Osobowy;2020;Kacper;Jozwiak;13-03-2022;
GDJFBN9;Buick;Encore;Osobowy;1992;Oskar;Baranowski;17-03-2022;
GDAVC3N;GMC;Yukon;Osobowy;2011;Borys;Nowak;17-03-2022;
GD7D5BN;Chevrolet;Silverado;Ciezarowy;2015;Adrian;Zajac;18-03-2022;
GD3PNAK;Volvo;S60;Osobowy;1990;Sebastian;Nowak;19-03-2022;
GD1B1DH;Land Rover;Discovery;Osobowy;1994;Milosz;Kubiak;22-03-2022;
GDF24O8;Volkswagen;Golf;Osobowy;1990;Kajetan;Sikora;22-03-2022;
GDSXKZE;Volvo;XC90;Osobowy;2012;Jakub;Tomasik;26-03-2022;
GDWO78H;Mini;Countryman;Osobowy;2020;Gabriel;Borkowski;26-03-2022;
GDCH0HP;Cadillac;CT6;Osobowy;2010;Adrian;Jakubowski;28-03-2022;
GD6GBSQ;Kia;Sorento;Osobowy;2001;Konrad;Kurek;29-03-2022;
GD5ST46;Toyota;RAV4;Osobowy;1992;Cezary;Krzesinski;29-03-2022;
GD23CMC;Ford;Explorer;Osobowy;2000;Daniel;Kaminski;30-03-2022;
GDWTUI6;Nissan;Murano;Osobowy;2013;Karol;Nowakowski;31-03-2022;
GD5T800;Mazda;3;Osobowy;2005;Borys;Kaczmarek;31-03-2022;
GDE3HGD;Mercedes-Benz;S-Class;Osobowy;2005;Adam;Piasecki;01-04-2022;
GDY8CR6;Mazda;3;Osobowy;2004;Kamil;Wozniak;01-04-2022;
GD4JFHN;Jeep;Renegade;Osobowy;2011;Kacper;Rozanski;03-04-2022;
GDBU7HC;GMC;Sierra;Ciezarowy;1998;Igor;Dabrowski;04-04-2022;
GDW4RFY;Buick;Regal;Osobowy;2005;Slawomir;Grabowski;05-04-2022;
GDCM7MW;Honda;CR-V;Osobowy;2016;Konrad;Rutkowski;05-04-2022;
GDOGYMC;Toyota;RAV4;Osobowy;1998;Julian;Kubiak;06-04-2022;
GDHP0FY;Chevrolet;Silverado;Ciezarowy;2022;Borys;Kazmierczak;07-04-2022;
GD8IM6Q;Hyundai;Elantra;Osobowy;2015;Gabriel;Walczak;09-04-2022;
GD75NJO;Toyota;4Runner;Osobowy;2000;Andrzej;Grzybowski;09-04-2022;
GD2J4OB;Tesla;Model Y;Osobowy;2021;Radoslaw;Michalski;09-04-2022;
GD6ZMLK;Land Rover;Discovery;Osobowy;2006;Dominik;Sikorski;09-04-2022;
GDYQME9;Volvo;S60;Osobowy;1991;Maciej;Tomasik;10-04-2022;
GDJ5F7C;Chrysler;300;Osobowy;2020;Juliusz;Borowski;11-04-2022;
GDZOOXC;Volkswagen;Passat;Osobowy;2008;Piotr;Kubiak;12-04-2022;
GDD3I25;Lexus;RX;Osobowy;1991;Wiktor;Lech;13-04-2022;
GDNG1SB;Ford;Mustang;Osobowy;1994;Kajetan;Dabrowski;13-04-2022;
GDD0FGM;Ford;Edge;Osobowy;1998;Roman;Nowakowski;14-04-2022;
GDTWSES;Volkswagen;Golf;Osobowy;1990;Roman;Urbanski;15-04-2022;
GDOVMVE;GMC;Acadia;Osobowy;2021;Borys;Gorski;15-04-2022;
GDV3LYH;Mercedes-Benz;E-Class;Osobowy;2002;Hubert;Golebiowski;16-04-2022;
GDP4K5X;Cadillac;XT5;Osobowy;2013;Jakub;Jozwiak;17-04-2022;
GD6L8SB;BMW;X5;Osobowy;2012;Grzegorz;Rutkowski;17-04-2022;
GD6VY6L;Volkswagen;Golf;Osobowy;2007;Lukasz;Krol;18-04-2022;
GD3CP21;Acura;ILX;Osobowy;2003;Emil;Zajac;18-04-2022;
GDFKSLX;Hyundai;Kona;Osobowy;2022;Jerzy;Nowak;19-04-2022;
GDQIE6I;Toyota;Corolla;Osobowy;2009;Adrian;Zielinski;20-04-2022;
GDUKN4E;Audi;A6;Osobowy;2016;Artur;Majewski;21-04-2022;
GDMG9VS;BMW;5 Series;Osobowy;1994;Benedykt;Marciniak;21-04-2022;
GDEPWFJ;Subaru;Outback;Osobowy;1998;Cezary;Jablonski;22-04-2022;
GDND9NQ;Buick;Enclave;Osobowy;2011;Dominik;Olczyk;22-04-2022;
GDPKJ8U;Jeep;Wrangler;Osobowy;2017;Emil;Zielinski;24-04-2022;
GDG6QNG;Tesla;Model Y;Osobowy;2020;Adam;Sadowski;27-04-2022;
GDLKMHA;Jaguar;XE;Osobowy;2005;Gabriel;Malinowski;28-04-2022;
GD9XJWJ;Audi;Q7;Osobowy;2008;Wiktor;Stepnien;29-04-2022;
GDZ0C8D;Chevrolet;Equinox;Osobowy;1994;Arkadiusz;Dabrowski;29-04-2022;
GDEPIXW;BMW;X3;Osobowy;2008;Benedykt;Mikolajczyk;29-04-2022;
GDVJ1VJ;Chevrolet;Equinox;Osobowy;2018;Lukasz;Tomasik;30-04-2022;
GDKE6KP;Subaru;Forester;Osobowy;1998;Adam;Wojcik;01-05-2022;
GDO3XFY;GMC;Canyon;Ciezarowy;2017;Filip;Borowski;02-05-2022;
GD4L7P5;Mercedes-Benz;S-Class;Osobowy;2008;Benedykt;Adamczyk;03-05-2022;
GDPJFHW;Volkswagen;Jetta;Osobowy;1992;Kacper;Szczepanski;04-05-2022;
GDQBY3M;Ford;Mustang;Osobowy;1996;Szymon;Adamczyk;05-05-2022;
GDBCNFN;Tesla;Model 3;Osobowy;2011;Cezary;Chmielewski;05-05-2022;
GDNNN22;Mercedes-Benz;GLC;Osobowy;2000;Robert;Grzybowski;05-05-2022;
GD9WB38;Jaguar;F-Type;Osobowy;1994;Juliusz;Wozniak;07-05-2022;
GDKNR8N;Cadillac;XT5;Osobowy;2021;Szymon;Czerwinski;07-05-2022;
GDDXTFS;Honda;Civic;Osobowy;2002;Kajetan;Kwiatkowski;08-05-2022;
GDLBQOB;Kia;Optima;Osobowy;2011;Aleksander;Jablonski;09-05-2022;
GDOB5YH;Chevrolet;Silverado;Ciezarowy;2002;Artur;Baranowski;09-05-2022;
GDEO2MT;Mini;Cooper;Osobowy;2022;Jan;Sikorski;10-05-2022;
GD7OPKX;Chevrolet;Silverado;Ciezarowy;2021;Robert;Szymanski;17-05-2022;
GDNSOQI;Land Rover;Discovery;Osobowy;1991;Jerzy;Mikolajczyk;17-05-2022;
GD16CNC;Tesla;Model Y;Osobowy;2019;Marek;Zajac;18-05-2022;
GDC8APH;Jeep;Cherokee;Osobowy;2010;Maksymilian;Malinowski;19-05-2022;
GDZLX9K;Volkswagen;Jetta;Osobowy;2021;Patryk;Kurek;24-05-2022;
GDD2K99;Kia;Optima;Osobowy;2010;Jakub;Cieslak;25-05-2022;
GDWG0T4;Fiat;500;Osobowy;2020;Arkadiusz;Golebiowski;25-05-2022;
GDN21V5;BMW;3 Series;Osobowy;2012;Grzegorz;Kowalczyk;26-05-2022;
GDXK2GS;Fiat;500;Osobowy;2022;Jacek;Wozniak;29-05-2022;
GD34IBE;Subaru;Forester;Osobowy;2002;Tomasz;Zalewski;30-05-2022;
GD3E6X6;Buick;Encore;Osobowy;2017;Gabriel;Kaczmarek;30-05-2022;
GDISF07;Ford;Explorer;Osobowy;2001;Kacper;Rozanski;31-05-2022;
GD16JB5;Chevrolet;Tahoe;Osobowy;2014;Tymon;Zalewski;31-05-2022;
GDGJEZG;Tesla;Model S;Osobowy;2006;Dawid;Borowski;31-05-2022;
GD467UY;Kia;Sportage;Osobowy;2012;Grzegorz;Wojciechowski;01-06-2022;
GDZGGOF;Subaru;Outback;Osobowy;1992;Adrian;Michalski;03-06-2022;
GDEW8SR;Hyundai;Kona;Osobowy;2020;Bartlomiej;Kowalski;04-06-2022;
GD9DDJ2;GMC;Yukon;Osobowy;1996;Damian;Kurek;05-06-2022;
GDDCDYF;Volkswagen;Tiguan;Osobowy;1998;Maciej;Janik;05-06-2022;
GDZLKUO;Dodge;Charger;Osobowy;2020;Daniel;Mucha;05-06-2022;
GDSG1TD;Chevrolet;Tahoe;Osobowy;2019;Juliusz;Borkowski;06-06-2022;
GDOWN1C;Land Rover;Defender;Osobowy;1999;Kazimierz;Zielinski;08-06-2022;
GDCIWIG;Tesla;Model X;Osobowy;1994;Krzysztof;Wilk;08-06-2022;
GDO96A6;Audi;A4;Osobowy;2012;Ryszard;Zawadzki;09-06-2022;
GDKVFDX;Cadillac;Escalade;Osobowy;2017;Lukasz;Nowak;11-06-2022;
GDQG10J;Mercedes-Benz;E-Class;Osobowy;1994;Kacper;Kowalski;12-06-2022;
GD9ZM54;Tesla;Model X;Osobowy;2004;Jan;Wieczorek;13-06-2022;
GDATUYZ;Acura;MDX;Osobowy;2004;Benedykt;Kwiatkowski;14-06-2022;
GDJ4ITU;Volvo;XC90;Osobowy;2019;Artur;Krzesinski;15-06-2022;
GDP6NCE;Fiat;500;Osobowy;2003;Jerzy;Jozwiak;16-06-2022;
GDRL8OP;Land Rover;Range Rover;Osobowy;2000;Adam;Sikora;19-06-2022;
GDJEH8P;Ford;Explorer;Osobowy;1993;Jakub;Skiba;21-06-2022;
GDRZ2KH;Volvo;S60;Osobowy;2010;Marcin;Nowacki;22-06-2022;
GDPGGBI;Audi;A6;Osobowy;2008;Kajetan;Baranowski;22-06-2022;
