name;surname;date;hours_amount
Adam;Kaczmarek;12-12-2021;0
Szymon;Nowakowski;12-12-2021;6,5
Antoni;Niewiadomski;12-12-2021;1
Aleksander;Urbanski;13-12-2021;0
Kazimierz;Szczepanski;13-12-2021;1,5
Antoni;Niewiadomski;13-12-2021;3,5
Antoni;Niewiadomski;13-12-2021;3,5
Przemyslaw;Romanowski;13-12-2021;3
Przemyslaw;Romanowski;14-12-2021;0
Aleksander;Urbanski;14-12-2021;0
Antoni;Niewiadomski;14-12-2021;0,5
Jacek;Romanowski;14-12-2021;0
Kazimierz;Szczepanski;14-12-2021;1
Kazimierz;Szczepanski;15-12-2021;1,5
Antoni;Niewiadomski;15-12-2021;2,5
Kazimierz;Szczepanski;15-12-2021;1,5
Jacek;Romanowski;15-12-2021;2
Aleksander;Urbanski;15-12-2021;0
Antoni;Niewiadomski;15-12-2021;2,5
Antoni;Niewiadomski;16-12-2021;2
Juliusz;Krol;16-12-2021;1,5
Adam;Kaczmarek;16-12-2021;0
Kazimierz;Szczepanski;16-12-2021;1,5
Jacek;Romanowski;16-12-2021;2
Juliusz;Krol;16-12-2021;1,5
Jacek;Romanowski;17-12-2021;1
Szymon;Nowakowski;17-12-2021;2,75
Szymon;Nowakowski;17-12-2021;2,75
Antoni;Niewiadomski;17-12-2021;0
Jacek;Romanowski;18-12-2021;0,5
Kazimierz;Szczepanski;18-12-2021;0
Aleksander;Urbanski;18-12-2021;0
Juliusz;Krol;18-12-2021;0
Kazimierz;Szczepanski;19-12-2021;3,5
Szymon;Nowakowski;19-12-2021;0
Przemyslaw;Romanowski;19-12-2021;2
Jacek;Romanowski;19-12-2021;0,5
Adam;Kaczmarek;19-12-2021;1
Kazimierz;Szczepanski;19-12-2021;3,5
Jacek;Romanowski;20-12-2021;1,5
Jacek;Romanowski;20-12-2021;1,5
Przemyslaw;Romanowski;20-12-2021;2,25
Aleksander;Urbanski;20-12-2021;0
Antoni;Niewiadomski;21-12-2021;1
Jacek;Romanowski;21-12-2021;0
Juliusz;Krol;21-12-2021;0
Adam;Kaczmarek;21-12-2021;1
Kazimierz;Szczepanski;22-12-2021;3,5
Kazimierz;Szczepanski;22-12-2021;3,5
Przemyslaw;Romanowski;22-12-2021;2,5
Juliusz;Krol;22-12-2021;0,5
Przemyslaw;Romanowski;23-12-2021;0,5
Jacek;Romanowski;23-12-2021;1
Juliusz;Krol;23-12-2021;1
Adam;Kaczmarek;23-12-2021;0
Przemyslaw;Romanowski;23-12-2021;0,5
Adam;Kaczmarek;24-12-2021;0,75
Przemyslaw;Romanowski;24-12-2021;0,75
Antoni;Niewiadomski;24-12-2021;2
Szymon;Nowakowski;24-12-2021;3
Szymon;Nowakowski;24-12-2021;3
Aleksander;Urbanski;24-12-2021;0
Jacek;Romanowski;25-12-2021;3,5
Antoni;Niewiadomski;25-12-2021;2
Jacek;Romanowski;25-12-2021;3,5
Przemyslaw;Romanowski;25-12-2021;2
Juliusz;Krol;25-12-2021;1
Jacek;Romanowski;26-12-2021;3
Antoni;Niewiadomski;26-12-2021;1
Antoni;Niewiadomski;26-12-2021;1
Kazimierz;Szczepanski;26-12-2021;1,5
Adam;Kaczmarek;26-12-2021;2,5
Juliusz;Krol;26-12-2021;1
Przemyslaw;Romanowski;27-12-2021;2,5
Antoni;Niewiadomski;27-12-2021;0
Kazimierz;Szczepanski;27-12-2021;2
Przemyslaw;Romanowski;27-12-2021;2,5
Przemyslaw;Romanowski;27-12-2021;2,5
Przemyslaw;Romanowski;27-12-2021;2,5
Adam;Kaczmarek;28-12-2021;1,5
Aleksander;Urbanski;28-12-2021;2
Adam;Kaczmarek;28-12-2021;1,5
Szymon;Nowakowski;28-12-2021;1
Antoni;Niewiadomski;28-12-2021;5,25
Antoni;Niewiadomski;28-12-2021;5,25
Szymon;Nowakowski;29-12-2021;2
Jacek;Romanowski;29-12-2021;1
Przemyslaw;Romanowski;29-12-2021;0
Aleksander;Urbanski;29-12-2021;2,5
Juliusz;Krol;29-12-2021;0
Przemyslaw;Romanowski;29-12-2021;0
Kazimierz;Szczepanski;30-12-2021;0
Juliusz;Krol;30-12-2021;3
Jacek;Romanowski;30-12-2021;2
Antoni;Niewiadomski;30-12-2021;1,5
Adam;Kaczmarek;30-12-2021;1
Przemyslaw;Romanowski;31-12-2021;5,5
Przemyslaw;Romanowski;31-12-2021;5,5
Antoni;Niewiadomski;31-12-2021;0
Przemyslaw;Romanowski;31-12-2021;5,5
Antoni;Niewiadomski;31-12-2021;0
Aleksander;Urbanski;31-12-2021;0,5
Przemyslaw;Romanowski;01-01-2022;2
Aleksander;Urbanski;01-01-2022;5,25
Jacek;Romanowski;01-01-2022;0
Aleksander;Urbanski;01-01-2022;5,25
Kazimierz;Szczepanski;01-01-2022;0
Adam;Kaczmarek;02-01-2022;2
Kazimierz;Szczepanski;02-01-2022;1
Adam;Kaczmarek;02-01-2022;2
Jacek;Romanowski;02-01-2022;0,5
Szymon;Nowakowski;03-01-2022;2,5
Antoni;Niewiadomski;03-01-2022;0
Adam;Kaczmarek;03-01-2022;2,5
Szymon;Nowakowski;03-01-2022;2,5
Przemyslaw;Romanowski;04-01-2022;0
Kazimierz;Szczepanski;04-01-2022;2
Juliusz;Krol;04-01-2022;1
Adam;Kaczmarek;04-01-2022;3,5
Adam;Kaczmarek;04-01-2022;3,5
Aleksander;Urbanski;04-01-2022;0,5
Adam;Kaczmarek;05-01-2022;1,5
Przemyslaw;Romanowski;05-01-2022;2,5
Jacek;Romanowski;05-01-2022;0,5
Adam;Kaczmarek;05-01-2022;1,5
Jacek;Romanowski;06-01-2022;6,5
Jacek;Romanowski;06-01-2022;6,5
Kazimierz;Szczepanski;06-01-2022;1
Kazimierz;Szczepanski;06-01-2022;1
Aleksander;Urbanski;07-01-2022;2
Szymon;Nowakowski;07-01-2022;0,5
Aleksander;Urbanski;07-01-2022;2
Antoni;Niewiadomski;07-01-2022;2,5
Juliusz;Krol;07-01-2022;0
Szymon;Nowakowski;08-01-2022;3,25
Jacek;Romanowski;08-01-2022;0
Juliusz;Krol;08-01-2022;0,5
Szymon;Nowakowski;08-01-2022;3,25
Kazimierz;Szczepanski;09-01-2022;0
Aleksander;Urbanski;09-01-2022;1
Przemyslaw;Romanowski;09-01-2022;2
Kazimierz;Szczepanski;09-01-2022;0
Juliusz;Krol;10-01-2022;2,5
Juliusz;Krol;10-01-2022;2,5
Aleksander;Urbanski;10-01-2022;0
Szymon;Nowakowski;10-01-2022;1,5
Szymon;Nowakowski;10-01-2022;1,5
Jacek;Romanowski;11-01-2022;0
Szymon;Nowakowski;11-01-2022;0,5
Przemyslaw;Romanowski;11-01-2022;2,5
Przemyslaw;Romanowski;11-01-2022;2,5
Szymon;Nowakowski;12-01-2022;2,25
Antoni;Niewiadomski;12-01-2022;1
Adam;Kaczmarek;12-01-2022;4,5
Adam;Kaczmarek;12-01-2022;4,5
Kazimierz;Szczepanski;12-01-2022;1
Juliusz;Krol;13-01-2022;0
Antoni;Niewiadomski;13-01-2022;2
Jacek;Romanowski;13-01-2022;0
Antoni;Niewiadomski;13-01-2022;2
Przemyslaw;Romanowski;13-01-2022;1
Kazimierz;Szczepanski;14-01-2022;1
Juliusz;Krol;14-01-2022;1
Aleksander;Urbanski;14-01-2022;2
Przemyslaw;Romanowski;14-01-2022;0,25
Jacek;Romanowski;14-01-2022;2,5
Adam;Kaczmarek;15-01-2022;3
Kazimierz;Szczepanski;15-01-2022;0
Adam;Kaczmarek;15-01-2022;3
Aleksander;Urbanski;15-01-2022;0
Aleksander;Urbanski;16-01-2022;2
Aleksander;Urbanski;16-01-2022;2
Szymon;Nowakowski;16-01-2022;0,5
Antoni;Niewiadomski;16-01-2022;0
Aleksander;Urbanski;16-01-2022;2
Jacek;Romanowski;16-01-2022;2
Adam;Kaczmarek;17-01-2022;1
Jacek;Romanowski;17-01-2022;3
Szymon;Nowakowski;17-01-2022;0,5
Przemyslaw;Romanowski;17-01-2022;4
Juliusz;Krol;17-01-2022;0
Adam;Kaczmarek;18-01-2022;3,25
Juliusz;Krol;18-01-2022;1
Przemyslaw;Romanowski;18-01-2022;2
Aleksander;Urbanski;18-01-2022;0,5
Adam;Kaczmarek;18-01-2022;3,25
Jacek;Romanowski;18-01-2022;3,5
Przemyslaw;Romanowski;19-01-2022;0
Antoni;Niewiadomski;19-01-2022;0
Adam;Kaczmarek;19-01-2022;4,5
Adam;Kaczmarek;19-01-2022;4,5
Jacek;Romanowski;19-01-2022;0
Aleksander;Urbanski;19-01-2022;1
Juliusz;Krol;20-01-2022;2,75
Szymon;Nowakowski;20-01-2022;0
Juliusz;Krol;20-01-2022;2,75
Juliusz;Krol;20-01-2022;2,75
Antoni;Niewiadomski;20-01-2022;3
Juliusz;Krol;21-01-2022;2
Szymon;Nowakowski;21-01-2022;0
Antoni;Niewiadomski;21-01-2022;0
Jacek;Romanowski;21-01-2022;2,5
Kazimierz;Szczepanski;21-01-2022;3
Przemyslaw;Romanowski;22-01-2022;1
Szymon;Nowakowski;22-01-2022;7,5
Szymon;Nowakowski;22-01-2022;7,5
Szymon;Nowakowski;22-01-2022;7,5
Kazimierz;Szczepanski;23-01-2022;1,5
Kazimierz;Szczepanski;23-01-2022;1,5
Adam;Kaczmarek;23-01-2022;0
Szymon;Nowakowski;23-01-2022;0
Aleksander;Urbanski;24-01-2022;1
Kazimierz;Szczepanski;24-01-2022;1
Przemyslaw;Romanowski;24-01-2022;1
Jacek;Romanowski;24-01-2022;1
Kazimierz;Szczepanski;25-01-2022;0
Przemyslaw;Romanowski;25-01-2022;2
Szymon;Nowakowski;25-01-2022;6
Szymon;Nowakowski;25-01-2022;6
Adam;Kaczmarek;25-01-2022;1,5
Jacek;Romanowski;26-01-2022;1
Szymon;Nowakowski;26-01-2022;4
Szymon;Nowakowski;26-01-2022;4
Szymon;Nowakowski;26-01-2022;4
Kazimierz;Szczepanski;26-01-2022;1,5
Kazimierz;Szczepanski;27-01-2022;0
Jacek;Romanowski;27-01-2022;1,5
Jacek;Romanowski;27-01-2022;1,5
Jacek;Romanowski;27-01-2022;1,5
Szymon;Nowakowski;27-01-2022;3
Adam;Kaczmarek;28-01-2022;1
Przemyslaw;Romanowski;28-01-2022;5
Przemyslaw;Romanowski;28-01-2022;5
Jacek;Romanowski;28-01-2022;1,5
Jacek;Romanowski;28-01-2022;1,5
Kazimierz;Szczepanski;28-01-2022;2
Aleksander;Urbanski;29-01-2022;2,5
Szymon;Nowakowski;29-01-2022;1
Aleksander;Urbanski;29-01-2022;2,5
Antoni;Niewiadomski;29-01-2022;2
Jacek;Romanowski;29-01-2022;3
Kazimierz;Szczepanski;29-01-2022;0,5
Kazimierz;Szczepanski;30-01-2022;1,5
Szymon;Nowakowski;30-01-2022;1
Juliusz;Krol;30-01-2022;2
Juliusz;Krol;30-01-2022;2
Adam;Kaczmarek;30-01-2022;0
Antoni;Niewiadomski;30-01-2022;1
Szymon;Nowakowski;31-01-2022;0
Antoni;Niewiadomski;31-01-2022;2
Kazimierz;Szczepanski;31-01-2022;1
Szymon;Nowakowski;31-01-2022;0
Przemyslaw;Romanowski;31-01-2022;3,75
Adam;Kaczmarek;31-01-2022;0
Przemyslaw;Romanowski;01-02-2022;4
Juliusz;Krol;01-02-2022;1
Antoni;Niewiadomski;01-02-2022;1
Aleksander;Urbanski;01-02-2022;0
Przemyslaw;Romanowski;01-02-2022;4
Jacek;Romanowski;02-02-2022;1,25
Szymon;Nowakowski;02-02-2022;2,75
Szymon;Nowakowski;02-02-2022;2,75
Adam;Kaczmarek;02-02-2022;1,5
Antoni;Niewiadomski;02-02-2022;2
Antoni;Niewiadomski;03-02-2022;2
Adam;Kaczmarek;03-02-2022;0
Kazimierz;Szczepanski;03-02-2022;3,5
Szymon;Nowakowski;03-02-2022;2,5
Kazimierz;Szczepanski;03-02-2022;3,5
Szymon;Nowakowski;03-02-2022;2,5
Szymon;Nowakowski;04-02-2022;0
Adam;Kaczmarek;04-02-2022;0
Juliusz;Krol;04-02-2022;4,5
Juliusz;Krol;04-02-2022;4,5
Antoni;Niewiadomski;04-02-2022;0
Kazimierz;Szczepanski;05-02-2022;0,5
Jacek;Romanowski;05-02-2022;1
Kazimierz;Szczepanski;05-02-2022;0,5
Adam;Kaczmarek;05-02-2022;2,5
Antoni;Niewiadomski;06-02-2022;0
Szymon;Nowakowski;06-02-2022;0
Aleksander;Urbanski;06-02-2022;3
Aleksander;Urbanski;06-02-2022;3
Adam;Kaczmarek;06-02-2022;2
Przemyslaw;Romanowski;06-02-2022;1,25
Aleksander;Urbanski;07-02-2022;2,5
Szymon;Nowakowski;07-02-2022;5
Jacek;Romanowski;07-02-2022;2,5
Szymon;Nowakowski;07-02-2022;5
Szymon;Nowakowski;07-02-2022;5
Przemyslaw;Romanowski;07-02-2022;1,5
Antoni;Niewiadomski;08-02-2022;1
Juliusz;Krol;08-02-2022;0
Adam;Kaczmarek;08-02-2022;0,5
Kazimierz;Szczepanski;08-02-2022;0
Aleksander;Urbanski;09-02-2022;1,5
Jacek;Romanowski;09-02-2022;0
Szymon;Nowakowski;09-02-2022;0,5
Adam;Kaczmarek;09-02-2022;0
Juliusz;Krol;09-02-2022;3,5
Przemyslaw;Romanowski;09-02-2022;0
Jacek;Romanowski;10-02-2022;2,25
Juliusz;Krol;10-02-2022;1
Antoni;Niewiadomski;10-02-2022;2
Jacek;Romanowski;10-02-2022;2,25
Juliusz;Krol;10-02-2022;1
Juliusz;Krol;11-02-2022;2
Przemyslaw;Romanowski;11-02-2022;2
Antoni;Niewiadomski;11-02-2022;4,5
Antoni;Niewiadomski;11-02-2022;4,5
Jacek;Romanowski;11-02-2022;2,5
Antoni;Niewiadomski;11-02-2022;4,5
Aleksander;Urbanski;12-02-2022;2,5
Adam;Kaczmarek;12-02-2022;3
Adam;Kaczmarek;12-02-2022;3
Szymon;Nowakowski;12-02-2022;2,5
Szymon;Nowakowski;13-02-2022;1
Aleksander;Urbanski;13-02-2022;3,5
Kazimierz;Szczepanski;13-02-2022;1,5
Adam;Kaczmarek;13-02-2022;2,5
Adam;Kaczmarek;14-02-2022;3
Kazimierz;Szczepanski;14-02-2022;2
Jacek;Romanowski;14-02-2022;0,5
Aleksander;Urbanski;14-02-2022;0
Adam;Kaczmarek;14-02-2022;3
Jacek;Romanowski;14-02-2022;0,5
Przemyslaw;Romanowski;15-02-2022;0,5
Przemyslaw;Romanowski;15-02-2022;0,5
Jacek;Romanowski;15-02-2022;1,25
Przemyslaw;Romanowski;15-02-2022;0,5
Jacek;Romanowski;15-02-2022;1,25
Aleksander;Urbanski;15-02-2022;0
Szymon;Nowakowski;16-02-2022;0,5
Przemyslaw;Romanowski;16-02-2022;2
Aleksander;Urbanski;16-02-2022;2
Adam;Kaczmarek;16-02-2022;0
Kazimierz;Szczepanski;16-02-2022;1,5
Przemyslaw;Romanowski;17-02-2022;2,5
Szymon;Nowakowski;17-02-2022;1,5
Juliusz;Krol;17-02-2022;3,5
Szymon;Nowakowski;17-02-2022;1,5
Juliusz;Krol;17-02-2022;3,5
Juliusz;Krol;17-02-2022;3,5
Aleksander;Urbanski;18-02-2022;1
Szymon;Nowakowski;18-02-2022;3,5
Adam;Kaczmarek;18-02-2022;1,25
Juliusz;Krol;18-02-2022;0
Kazimierz;Szczepanski;19-02-2022;5,25
Kazimierz;Szczepanski;19-02-2022;5,25
Aleksander;Urbanski;19-02-2022;3,5
Kazimierz;Szczepanski;19-02-2022;5,25
Juliusz;Krol;19-02-2022;3,5
Przemyslaw;Romanowski;20-02-2022;0,5
Adam;Kaczmarek;20-02-2022;1
Jacek;Romanowski;20-02-2022;5,25
Jacek;Romanowski;20-02-2022;5,25
Kazimierz;Szczepanski;21-02-2022;2
Przemyslaw;Romanowski;21-02-2022;3,5
Adam;Kaczmarek;21-02-2022;4
Adam;Kaczmarek;21-02-2022;4
Szymon;Nowakowski;21-02-2022;0
Jacek;Romanowski;22-02-2022;1,5
Kazimierz;Szczepanski;22-02-2022;2,5
Jacek;Romanowski;22-02-2022;1,5
Jacek;Romanowski;22-02-2022;1,5
Antoni;Niewiadomski;22-02-2022;0
Jacek;Romanowski;23-02-2022;3
Jacek;Romanowski;23-02-2022;3
Aleksander;Urbanski;23-02-2022;0
Antoni;Niewiadomski;23-02-2022;0,5
Juliusz;Krol;23-02-2022;2
Szymon;Nowakowski;23-02-2022;0
Adam;Kaczmarek;24-02-2022;0
Aleksander;Urbanski;24-02-2022;1,5
Juliusz;Krol;24-02-2022;0
Antoni;Niewiadomski;24-02-2022;1,5
Juliusz;Krol;24-02-2022;0
Jacek;Romanowski;24-02-2022;2,5
Kazimierz;Szczepanski;25-02-2022;0
Antoni;Niewiadomski;25-02-2022;4
Juliusz;Krol;25-02-2022;1,5
Antoni;Niewiadomski;25-02-2022;4
Juliusz;Krol;26-02-2022;0,5
Kazimierz;Szczepanski;26-02-2022;2
Przemyslaw;Romanowski;26-02-2022;0,5
Szymon;Nowakowski;26-02-2022;1
Aleksander;Urbanski;27-02-2022;1
Juliusz;Krol;27-02-2022;5
Kazimierz;Szczepanski;27-02-2022;0
Juliusz;Krol;27-02-2022;5
Kazimierz;Szczepanski;27-02-2022;0
Szymon;Nowakowski;28-02-2022;0
Antoni;Niewiadomski;28-02-2022;2
Aleksander;Urbanski;28-02-2022;1,5
Juliusz;Krol;28-02-2022;3
Aleksander;Urbanski;01-03-2022;4
Szymon;Nowakowski;01-03-2022;0
Antoni;Niewiadomski;01-03-2022;1
Adam;Kaczmarek;01-03-2022;1
Aleksander;Urbanski;01-03-2022;4
Adam;Kaczmarek;02-03-2022;3,5
Adam;Kaczmarek;02-03-2022;3,5
Juliusz;Krol;02-03-2022;1
Szymon;Nowakowski;02-03-2022;0
Przemyslaw;Romanowski;02-03-2022;0,5
Adam;Kaczmarek;02-03-2022;3,5
Antoni;Niewiadomski;03-03-2022;3,25
Antoni;Niewiadomski;03-03-2022;3,25
Juliusz;Krol;03-03-2022;1,5
Adam;Kaczmarek;03-03-2022;0
Jacek;Romanowski;03-03-2022;0
Szymon;Nowakowski;04-03-2022;2,75
Szymon;Nowakowski;04-03-2022;2,75
Juliusz;Krol;04-03-2022;1
Szymon;Nowakowski;04-03-2022;2,75
Kazimierz;Szczepanski;05-03-2022;9
Kazimierz;Szczepanski;05-03-2022;9
Przemyslaw;Romanowski;05-03-2022;2,5
Antoni;Niewiadomski;05-03-2022;2
Kazimierz;Szczepanski;05-03-2022;9
Kazimierz;Szczepanski;05-03-2022;9
Kazimierz;Szczepanski;06-03-2022;0,75
Jacek;Romanowski;06-03-2022;1
Szymon;Nowakowski;06-03-2022;4,5
Jacek;Romanowski;06-03-2022;1
Przemyslaw;Romanowski;06-03-2022;1
Antoni;Niewiadomski;06-03-2022;1,5
Szymon;Nowakowski;07-03-2022;4
Kazimierz;Szczepanski;07-03-2022;2,5
Szymon;Nowakowski;07-03-2022;4
Antoni;Niewiadomski;07-03-2022;1
Przemyslaw;Romanowski;08-03-2022;2
Adam;Kaczmarek;08-03-2022;1
Antoni;Niewiadomski;08-03-2022;0
Kazimierz;Szczepanski;08-03-2022;0,25
Jacek;Romanowski;08-03-2022;1
Kazimierz;Szczepanski;08-03-2022;0,25
Aleksander;Urbanski;09-03-2022;5,5
Szymon;Nowakowski;09-03-2022;4
Aleksander;Urbanski;09-03-2022;5,5
Szymon;Nowakowski;09-03-2022;4
Szymon;Nowakowski;09-03-2022;4
Szymon;Nowakowski;09-03-2022;4
Antoni;Niewiadomski;10-03-2022;0,5
Aleksander;Urbanski;10-03-2022;0
Kazimierz;Szczepanski;10-03-2022;0,5
Szymon;Nowakowski;10-03-2022;1
Przemyslaw;Romanowski;11-03-2022;5
Przemyslaw;Romanowski;11-03-2022;5
Przemyslaw;Romanowski;11-03-2022;5
Juliusz;Krol;11-03-2022;3,5
Juliusz;Krol;11-03-2022;3,5
Przemyslaw;Romanowski;12-03-2022;2,5
Szymon;Nowakowski;12-03-2022;1
Juliusz;Krol;12-03-2022;0
Adam;Kaczmarek;12-03-2022;0
Aleksander;Urbanski;13-03-2022;3
Antoni;Niewiadomski;13-03-2022;3,5
Antoni;Niewiadomski;13-03-2022;3,5
Szymon;Nowakowski;13-03-2022;0
Aleksander;Urbanski;14-03-2022;2,5
Antoni;Niewiadomski;14-03-2022;3
Jacek;Romanowski;14-03-2022;0,25
Kazimierz;Szczepanski;14-03-2022;1
Antoni;Niewiadomski;14-03-2022;3
Kazimierz;Szczepanski;14-03-2022;1
Juliusz;Krol;15-03-2022;3
Juliusz;Krol;15-03-2022;3
Szymon;Nowakowski;15-03-2022;2,5
Antoni;Niewiadomski;15-03-2022;2,5
Kazimierz;Szczepanski;16-03-2022;4
Kazimierz;Szczepanski;16-03-2022;4
Adam;Kaczmarek;16-03-2022;3
Adam;Kaczmarek;16-03-2022;3
Kazimierz;Szczepanski;16-03-2022;4
Juliusz;Krol;17-03-2022;0
Kazimierz;Szczepanski;17-03-2022;1,75
Kazimierz;Szczepanski;17-03-2022;1,75
Kazimierz;Szczepanski;17-03-2022;1,75
Antoni;Niewiadomski;17-03-2022;0
Adam;Kaczmarek;18-03-2022;1,25
Adam;Kaczmarek;18-03-2022;1,25
Adam;Kaczmarek;18-03-2022;1,25
Szymon;Nowakowski;18-03-2022;0
Adam;Kaczmarek;18-03-2022;1,25
Aleksander;Urbanski;18-03-2022;0
Juliusz;Krol;19-03-2022;2
Szymon;Nowakowski;19-03-2022;2,75
Szymon;Nowakowski;19-03-2022;2,75
Aleksander;Urbanski;19-03-2022;0
Jacek;Romanowski;20-03-2022;1
Szymon;Nowakowski;20-03-2022;4
Jacek;Romanowski;20-03-2022;1
Kazimierz;Szczepanski;20-03-2022;1
Antoni;Niewiadomski;20-03-2022;2,5
Adam;Kaczmarek;21-03-2022;1
Kazimierz;Szczepanski;21-03-2022;0,5
Juliusz;Krol;21-03-2022;0
Szymon;Nowakowski;21-03-2022;0
Aleksander;Urbanski;21-03-2022;4
Aleksander;Urbanski;22-03-2022;2
Antoni;Niewiadomski;22-03-2022;1
Adam;Kaczmarek;22-03-2022;1
Kazimierz;Szczepanski;22-03-2022;1
Juliusz;Krol;23-03-2022;2
Adam;Kaczmarek;23-03-2022;0,5
Juliusz;Krol;23-03-2022;2
Przemyslaw;Romanowski;23-03-2022;0
Juliusz;Krol;23-03-2022;2
Przemyslaw;Romanowski;24-03-2022;0
Aleksander;Urbanski;24-03-2022;1
Szymon;Nowakowski;24-03-2022;0
Juliusz;Krol;24-03-2022;0,5
Kazimierz;Szczepanski;24-03-2022;1
Przemyslaw;Romanowski;25-03-2022;1
Kazimierz;Szczepanski;25-03-2022;0,5
Jacek;Romanowski;25-03-2022;1,75
Jacek;Romanowski;25-03-2022;1,75
Antoni;Niewiadomski;25-03-2022;1
Przemyslaw;Romanowski;26-03-2022;2
Juliusz;Krol;26-03-2022;1
Kazimierz;Szczepanski;26-03-2022;3,5
Szymon;Nowakowski;26-03-2022;3
Jacek;Romanowski;27-03-2022;1
Przemyslaw;Romanowski;27-03-2022;1,75
Juliusz;Krol;27-03-2022;1,5
Jacek;Romanowski;27-03-2022;1
Kazimierz;Szczepanski;27-03-2022;4
Kazimierz;Szczepanski;28-03-2022;2
Kazimierz;Szczepanski;28-03-2022;2
Antoni;Niewiadomski;28-03-2022;4,5
Antoni;Niewiadomski;28-03-2022;4,5
Przemyslaw;Romanowski;28-03-2022;0,5
Szymon;Nowakowski;28-03-2022;0
Adam;Kaczmarek;29-03-2022;1,5
Juliusz;Krol;29-03-2022;2
Aleksander;Urbanski;29-03-2022;1,25
Antoni;Niewiadomski;29-03-2022;1
Szymon;Nowakowski;29-03-2022;0
Adam;Kaczmarek;29-03-2022;1,5
Aleksander;Urbanski;30-03-2022;1
Kazimierz;Szczepanski;30-03-2022;3,5
Juliusz;Krol;30-03-2022;0
Kazimierz;Szczepanski;30-03-2022;3,5
Kazimierz;Szczepanski;31-03-2022;2,5
Antoni;Niewiadomski;31-03-2022;2,5
Szymon;Nowakowski;31-03-2022;0,5
Adam;Kaczmarek;31-03-2022;1
Juliusz;Krol;01-04-2022;1
Juliusz;Krol;01-04-2022;1
Jacek;Romanowski;01-04-2022;0
Przemyslaw;Romanowski;01-04-2022;0,5
Adam;Kaczmarek;02-04-2022;1,5
Szymon;Nowakowski;02-04-2022;3
Juliusz;Krol;02-04-2022;4
Jacek;Romanowski;02-04-2022;2,25
Juliusz;Krol;03-04-2022;2,5
Juliusz;Krol;03-04-2022;2,5
Aleksander;Urbanski;03-04-2022;1
Szymon;Nowakowski;03-04-2022;0
Jacek;Romanowski;03-04-2022;3
Adam;Kaczmarek;03-04-2022;0
Juliusz;Krol;04-04-2022;4
Jacek;Romanowski;04-04-2022;1
Antoni;Niewiadomski;04-04-2022;0,25
Przemyslaw;Romanowski;04-04-2022;1
Kazimierz;Szczepanski;04-04-2022;0
Adam;Kaczmarek;05-04-2022;0
Kazimierz;Szczepanski;05-04-2022;4
Kazimierz;Szczepanski;05-04-2022;4
Jacek;Romanowski;05-04-2022;1,5
Jacek;Romanowski;05-04-2022;1,5
Kazimierz;Szczepanski;05-04-2022;4
Jacek;Romanowski;06-04-2022;0,5
Aleksander;Urbanski;06-04-2022;1,5
Juliusz;Krol;06-04-2022;0
Szymon;Nowakowski;06-04-2022;1
Aleksander;Urbanski;07-04-2022;0,25
